Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
B2B,b2b,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcfa,false,false,Fri Jan 12 2024 02:04:21 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:04:21 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
B2C,b2c,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcfb,false,false,Fri Jan 12 2024 02:04:27 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:04:27 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
Enterprise,enterprise,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcfc,false,false,Fri Jan 12 2024 02:04:35 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:04:35 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
IdentityTech,identity-tech,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcf6,false,false,Fri Jan 12 2024 01:59:30 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:00:17 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
IoT,iot,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,69791446ceb10f437c6d4974,false,false,Tue Jan 27 2026 19:38:46 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 19:38:46 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 23:12:38 GMT+0000 (Coordinated Universal Time)
Large Language Models,llms,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcf5,false,false,Fri Jan 12 2024 01:59:30 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:02:24 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
Machine Learning,ml,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcf7,false,false,Fri Jan 12 2024 01:59:30 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:03:08 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
Manufacturing,manufacturing,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,69791466ddfc8a3878fb242d,false,false,Tue Jan 27 2026 19:39:18 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 19:39:18 GMT+0000 (Coordinated Universal Time),Tue Jan 27 2026 23:12:38 GMT+0000 (Coordinated Universal Time)
Mobile App,mobile-app,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcfe,false,false,Fri Jan 12 2024 02:07:22 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:07:22 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
PropTech,property-tech,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcf8,false,false,Fri Jan 12 2024 01:59:30 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 01:59:58 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
SaaS,saas,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcf9,false,false,Fri Jan 12 2024 02:04:07 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:04:07 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
Smart Home Tech,smart-home-tech,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcee,false,false,Fri Jan 12 2024 01:59:30 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:01:51 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
Web Application,web-application,65e03563f7b047d56a20dcda,65e03563f7b047d56a20dc7b,65e03563f7b047d56a20dcfd,false,false,Fri Jan 12 2024 02:05:20 GMT+0000 (Coordinated Universal Time),Fri Jan 12 2024 02:05:20 GMT+0000 (Coordinated Universal Time),Thu Feb 29 2024 07:44:42 GMT+0000 (Coordinated Universal Time)
